PM2.5,PM10,Temperature,Humidity,Wind Speed,Air Quality Category
32.62,29.43,9.6,73.0,2.36,Good
3.72,0.0,7.6,72.4,0.1,Good
2.69,0.0,17.7,73.9,5.7,Good
21.59,65.95,22.0,62.6,12.9,Moderate
230.06,359.1,26.4,63.4,2.1,Unhealthy
26.41,42.5,13.5,47.4,15.45,Good
8.24,0.0,15.2,65.7,2.01,Good
32.27,13.5,18.1,55.7,0.69,Good
2.142018179074553,44.07861894319072,11.0,72.8,1.4994410369605538,Good
10.65,9.29,29.4,70.3,4.63,Good
48.47,44.29,8.4,65.8,1.31,Moderate
111.3,141.61,9.3,77.5,14.91,Moderate
28.65,38.28,11.7,95.0,4.31,Good
1.3681644108425834,0.5952789999562271,13.2,68.6,6.5418531579524,Good
28.35,12.26,15.6,82.3,11.99,Good
20.98,49.05,25.7,95.0,17.92,Good
1.2714579033597695,50.72657226389161,14.9,64.8,3.8104130402307455,Moderate
27.66,31.17,5.0,68.8,3.63,Good
26.91,36.05,20.8,93.1,0.94,Good
144.78,195.17,23.4,72.6,0.23,Moderate
23.21388275139038,0.0,29.2,78.8,1.4179936750493078,Good
15.35,87.11,34.9,83.4,3.34,Moderate
104.97,186.98,23.6,50.7,2.71,Moderate
17.754229846505545,0.0,14.8,63.7,7.11734022893443,Good
5.12,0.0,30.7,72.6,3.69,Good
38.4,82.61,12.2,47.9,4.04,Moderate
6.73,11.78,17.2,68.8,0.3,Good
6.17,0.0,32.3,80.0,6.74,Good
122.33070304034422,164.93514582224014,16.9,65.6,6.792583479850248,Moderate
2.33,52.11,18.5,72.0,10.62,Moderate
154.04228627354047,291.36047964159997,17.4,82.1,1.484826126316505,Unhealthy
74.9,190.53,25.8,71.2,2.03,Moderate
21.72,66.97,12.5,87.2,4.84,Moderate
32.57977376289396,57.47821149721613,23.0,61.6,4.406024579267316,Moderate
80.86,165.26,36.9,59.8,7.15,Moderate
130.44,236.32,29.7,70.3,1.09,Moderate
19.89,30.65,11.1,58.7,5.62,Good
9.75,0.0,29.5,85.0,4.32,Good
170.97,312.85,8.0,88.2,6.17,Unhealthy
25.21,67.52,18.8,46.3,4.73,Moderate
54.19,80.41,28.2,49.9,0.22,Moderate
37.27,74.53,20.4,84.8,13.35,Moderate
2.38,0.0,5.0,70.3,1.0,Good
48.08545190180273,49.87673177079053,15.0,57.5,7.297850792507152,Moderate
43.45,117.48,19.3,95.0,21.07,Moderate
43.62196173194266,29.011064852198423,37.3,73.6,4.19378985276868,Moderate
95.86180503630027,237.77396983488114,18.0,58.2,0.49542282899884976,Moderate
152.23,160.9,20.0,95.0,4.62,Unhealthy
1.11,0.0,31.3,50.7,12.73,Good
53.55,132.69,18.8,73.3,2.67,Moderate
19.06,34.22,18.6,54.2,2.48,Good
89.72229958317762,130.01967248350218,22.9,80.6,4.190002452248123,Moderate
297.73925729959274,326.47475149122323,12.9,80.4,0.7594543503924776,Unhealthy
111.40912635964077,197.47572659159562,31.9,46.7,6.346746478659468,Moderate
19.9326850870966,29.42066768547868,21.0,71.0,7.758898612945867,Good
8.41,45.26,6.3,90.3,0.3,Good
131.38,194.6,26.5,58.1,1.01,Moderate
2.08,3.87,12.1,75.9,2.02,Good
23.95,24.09,18.2,71.4,13.96,Good
25.97,54.51,24.4,86.8,0.45,Moderate
94.00512754876418,187.97402924856166,5.0,67.4,2.530752749245428,Moderate
92.31,149.49,26.1,33.8,1.0,Moderate
30.05,61.36,15.9,91.1,10.55,Moderate
23.38,0.0,18.0,49.6,4.26,Good
22.81,79.18,5.0,67.9,0.2,Moderate
9.13,42.61,8.2,80.3,2.1,Good
154.01862092391832,328.88257334837317,36.1,54.3,1.904090383100095,Unhealthy
18.17,34.4,15.0,69.3,4.96,Good
127.87756917255781,106.69102210996424,16.3,79.5,0.6254564437625723,Moderate
12.4,0.0,5.0,62.1,8.6,Good
22.94,71.54,15.0,58.8,0.16,Moderate
27.270052859350834,40.17155655373803,26.5,83.2,1.5730591643279055,Good
24.97,19.23,16.0,57.8,0.2,Good
73.48,134.98,30.8,77.3,0.6,Moderate
39.03,58.65,18.2,76.5,7.42,Moderate
10.38,36.56,10.9,92.8,8.92,Good
66.45258782071306,187.80970450396478,13.5,53.5,1.7231714419874355,Moderate
119.24,173.22,23.3,49.5,1.91,Moderate
157.85,243.52,19.9,67.6,5.29,Unhealthy
18.83,34.4,21.5,72.0,2.97,Good
3.44,0.0,18.7,81.2,0.76,Good
26.41759117277005,103.88917046158207,12.3,70.5,0.8901497428636211,Moderate
18.93,31.23,30.7,62.7,23.87,Good
55.36,58.28,23.2,74.3,0.11,Moderate
2.91,5.09,29.5,74.9,5.71,Good
5.1840243796277745,2.828624796805359,18.2,70.0,1.1380632030760596,Good
68.12,141.19,5.0,75.0,3.11,Moderate
6.82,14.34,16.7,76.2,1.45,Good
76.43,127.17,19.1,61.6,5.69,Moderate
3.55,0.0,20.3,89.7,5.31,Good
22.05,15.4,15.8,69.4,0.12,Good
12.65,72.53,18.5,62.9,1.1,Moderate
91.89818383747024,158.95283395802173,11.3,55.4,0.38500654351562946,Moderate
18.039416823834006,0.0,18.2,83.6,7.128051007869074,Good
4.05,12.79,14.2,80.5,6.58,Good
63.42,33.07,28.3,53.9,2.13,Moderate
15.42,0.0,20.4,73.9,6.67,Good
34.69,61.08,13.4,79.3,0.34,Moderate
57.44,93.2,20.7,56.1,3.6,Moderate
10.934589817753094,0.0,13.0,89.6,1.8600266983855247,Good
107.8,136.99,26.4,43.4,6.23,Moderate
85.04,99.49,5.0,81.2,1.59,Moderate
0.9252469698753252,48.12136193918488,6.7,94.4,0.0491244597488823,Good
13.77,38.55,31.0,40.1,0.91,Good
23.49,48.24,28.5,56.2,6.52,Good
165.69,267.3,15.4,91.5,0.67,Unhealthy
90.07,113.74,22.2,56.8,12.08,Moderate
52.54,54.97,25.8,87.8,0.99,Moderate
83.08,95.04,26.1,50.9,0.46,Moderate
5.077840832189835,0.0,28.0,95.0,1.2498627677127185,Good
92.95,160.91,10.7,78.2,1.1,Moderate
182.1400719105499,464.4980025836777,9.7,94.9,0.6701965724630309,Unhealthy
4.614655384878723,0.0,5.0,95.0,1.260106192599303,Good
68.84,162.75,7.9,73.6,6.95,Moderate
18.51,45.53,10.9,80.0,6.67,Good
42.3,87.54,27.5,82.3,0.93,Moderate
27.04,53.42,10.9,69.5,0.57,Moderate
16.92,60.96,17.6,85.5,15.26,Moderate
218.90712239339456,354.3930867167841,20.3,91.0,4.176695563434449,Unhealthy
194.945427948703,282.3911255512648,22.7,86.2,0.17323255765231493,Unhealthy
230.28603046893485,600.0,18.5,50.7,6.7759570309759445,Unhealthy
37.96351349104547,47.118795027620635,26.6,60.5,2.154087966887523,Moderate
154.55916658528696,268.5213701606465,29.3,79.5,3.7440426928006687,Unhealthy
111.68522268061145,137.19560780215548,20.3,75.4,1.2789923313039073,Moderate
21.43206973258972,0.0,16.8,49.6,1.325635664435105,Good
81.08,199.36,22.5,89.4,0.29,Moderate
60.82,194.11,11.8,61.7,6.29,Moderate
25.83,41.95,28.0,41.5,3.07,Good
22.08,42.55,26.1,62.3,0.63,Good
49.75,124.29,30.3,93.9,10.26,Moderate
304.83,428.04,16.8,41.5,5.72,Unhealthy
0.7383615936694924,0.0,26.4,52.9,1.4301958853685808,Good
36.5,97.59,27.9,64.2,13.48,Moderate
102.3,69.99,24.1,36.5,5.46,Moderate
44.38,83.65,23.6,31.9,0.46,Moderate
72.49,95.84,6.3,76.8,8.0,Moderate
288.67204607992545,325.1493820279997,17.5,95.0,5.968428032709758,Unhealthy
40.73478564598185,125.84756676293816,8.3,80.9,4.58068873199264,Moderate
17.03,41.17,25.4,67.6,3.15,Good
7.4,54.31,24.3,69.3,3.89,Moderate
135.31,195.66,19.2,85.2,2.82,Moderate
22.51,14.8,7.1,76.8,6.14,Good
22.51,0.0,17.4,81.8,8.9,Good
93.11,137.27,10.6,74.9,3.07,Moderate
21.91,0.0,28.3,55.1,4.7,Good
59.36744273449662,93.95553475964532,23.9,70.4,0.6363032099414547,Moderate
24.25,81.69,27.7,92.3,0.14,Moderate
33.0,47.19,8.2,59.7,6.12,Good
34.66210552390951,51.27480436343963,24.4,59.3,0.09628224072762559,Moderate
51.15,33.07,18.5,71.2,0.49,Moderate
135.81,184.91,31.1,69.6,30.0,Moderate
18.44,37.86,30.5,73.3,8.7,Good
5.97,0.0,11.1,78.8,0.49,Good
9.45056239265539,3.217912156460304,17.2,47.1,11.418402379611724,Good
125.87837036555902,88.70901135507953,14.4,87.9,6.18596919719703,Moderate
65.93029955430504,146.78871004006166,25.2,78.0,2.1549076244183394,Moderate
10.626907043437516,51.50778341100633,17.6,81.7,0.15291627594889326,Moderate
14.45,0.0,27.5,51.7,1.91,Good
40.05,97.91,8.4,91.3,2.74,Moderate
16.76,54.16,9.3,72.0,2.21,Moderate
78.81,146.99,14.0,50.6,2.76,Moderate
38.65,90.19,17.9,65.6,8.47,Moderate
54.46,117.25,12.1,58.7,4.8,Moderate
23.32,39.66,25.9,68.2,8.26,Good
13.69,0.0,32.6,62.6,0.39,Good
9.65,17.07,26.9,86.9,0.86,Good
183.44914951173809,257.8822001478593,34.2,52.7,1.6448690269457336,Unhealthy
98.83529711823074,169.88391011903065,23.6,95.0,3.818138422206736,Moderate
69.67392073029932,137.55099885022602,29.5,61.5,4.642730140699708,Moderate
53.09,86.61,20.7,89.8,24.51,Moderate
18.16557385838147,32.785576564986435,12.4,72.3,9.169625683913285,Good
10.24,45.56,30.9,79.6,0.56,Good
56.59,101.66,23.2,85.6,0.72,Moderate
65.77729100279974,146.76821400108162,10.2,95.0,2.282525799073919,Moderate
2.21,10.24,21.7,80.5,3.62,Good
17.210788727089792,0.0,25.9,59.6,1.0837049759177042,Good
97.23859789774129,105.52712061772536,9.5,95.0,0.6103110577225421,Moderate
170.00320047210593,251.98573588067552,7.7,45.9,3.947457698614079,Unhealthy
79.43,109.54,21.9,89.4,4.02,Moderate
66.14,96.58,21.8,39.7,1.38,Moderate
226.41170973438363,243.9531398570171,5.0,73.0,1.8192136885440713,Unhealthy
35.35,80.09,8.5,72.2,2.58,Moderate
20.34,78.56,21.8,82.8,2.2,Moderate
1.6,1.5,20.1,74.8,1.6,Good
36.85,65.26,12.7,78.0,0.92,Moderate
18.83,67.13,34.3,84.2,17.19,Moderate
74.79146957998653,152.39681904609515,10.3,76.5,9.665862641792534,Moderate
34.79,18.92,16.2,94.5,1.95,Good
83.81,114.14,14.7,72.5,7.32,Moderate
0.47,6.43,21.7,87.6,4.71,Good
24.843167360851037,9.055238547279252,12.6,83.8,3.0552034310888163,Good
1.65,0.0,22.0,80.3,0.22,Good
5.28,9.76,22.7,70.9,4.15,Good
5.57,22.89,31.5,38.7,9.99,Good
1.4210914842164875,0.0,19.5,71.2,0.5994376222227595,Good
12.45,50.48,23.3,72.4,6.92,Moderate
30.09,41.99,23.0,43.8,0.35,Good
189.29,222.15,31.1,38.5,1.6,Unhealthy
12.5,33.59,11.5,53.1,13.74,Good
3.69,0.0,24.5,74.9,17.8,Good
37.89,115.84,19.2,90.5,6.21,Moderate
2.5086711357927176,0.0,23.7,50.6,8.853873663699474,Good
13.85,48.25,5.0,93.4,0.98,Good
4.5,35.63,18.7,82.1,8.7,Good
3.44,31.94,13.2,51.9,1.57,Good
5.88,7.47,22.8,77.6,0.89,Good
3.44,0.0,28.5,94.1,0.7,Good
48.32,97.34,26.2,64.3,7.71,Moderate
27.77,22.01,21.6,59.3,16.03,Good
15.6,40.21,20.4,72.7,10.82,Good
22.98,53.77,25.3,77.5,2.02,Moderate
51.624327549987036,99.57971790394105,11.5,70.0,1.8138214186034878,Moderate
9.36,49.65,21.1,59.1,3.51,Good
12.810103168181433,27.517615853541493,11.0,86.0,1.2085766006329772,Good
28.02,57.31,29.0,60.1,4.78,Moderate
52.82,80.86,18.5,66.4,2.75,Moderate
3.389769106234082,119.5757539842805,19.0,70.7,1.0654361029701775,Moderate
198.4477992793411,372.2558771120834,19.9,70.3,4.500610235978206,Unhealthy
197.04,380.99,24.2,34.3,1.68,Unhealthy
59.77,142.21,27.2,66.5,0.89,Moderate
111.10246411223106,254.30706645883964,19.9,78.6,1.860170103306874,Unhealthy
51.202417644233705,127.49571350557748,19.8,67.1,0.16100630081224226,Moderate
76.14,72.56,21.2,55.5,1.32,Moderate
90.43,166.02,24.1,60.9,1.65,Moderate
31.29,71.28,24.0,68.9,1.29,Moderate
73.09474640821989,49.61823404774585,29.0,80.4,3.3053319828272687,Moderate
32.04715253391569,48.0053753158485,8.2,83.4,1.4173226408336719,Good
23.19679865311977,43.24840871063115,26.9,62.4,10.49934350754949,Good
19.973346996822873,129.90400684793198,24.9,64.2,12.802676888051947,Moderate
27.15,69.36,40.0,68.0,16.52,Moderate
68.41,101.61,26.1,77.8,3.75,Moderate
85.67983565738926,69.79944562709875,18.8,84.4,1.7008355311568295,Moderate
28.13,32.25,17.2,95.0,4.66,Good
149.40745652208136,202.45966251248035,22.5,66.7,3.00214503942498,Moderate
79.19,128.95,19.8,64.3,0.14,Moderate
92.68,156.87,8.3,94.4,12.44,Moderate
36.62,2.6,21.1,54.8,6.71,Moderate
27.71,0.0,32.1,35.3,0.74,Good
124.74,148.84,19.1,71.7,6.66,Moderate
20.38,39.9,31.9,93.6,8.57,Good
48.7041891112237,23.07770408666927,25.4,58.8,9.45078633398297,Moderate
37.98,92.79,29.7,47.1,5.11,Moderate
32.56,39.59,9.9,84.4,0.47,Good
16.14,0.0,19.4,64.2,17.81,Good
10.747860181193152,10.509990602370037,27.4,69.0,2.5571197464359794,Good
66.22913853554721,116.77666641228669,18.1,71.3,0.8322307004061333,Moderate
85.88660560042813,152.2853597759814,5.6,73.4,2.5120145413418586,Moderate
6.51,0.0,24.7,84.6,1.97,Good
30.95,79.22,27.5,55.7,6.21,Moderate
19.35,45.61,13.5,86.0,30.0,Good
6.510906089494124,2.6109198749570703,18.3,77.5,1.5420948006595872,Good
7.73,34.23,21.4,47.4,4.55,Good
15.27,38.91,33.2,65.3,2.77,Good
0.29,0.0,24.3,82.1,4.79,Good
45.9,81.19,25.1,63.9,10.7,Moderate
89.04027248996421,223.92398145194076,15.7,86.7,1.1888803965970984,Moderate
7.97,0.0,28.2,67.1,8.71,Good
21.34,69.2,28.0,85.4,17.46,Moderate
45.05589868105356,78.83670655854766,5.0,71.4,1.0630526630395694,Moderate
31.04,38.42,9.0,51.9,2.79,Good
