Age,Budget (NPR),Duration (days),Activity Preference,Spending Score,Cluster,KMeans_Cluster
50,4126.1,4.4,Cultural,6.5,1,4
69,7280.28,12.3,Relaxation,33.8,2,0
39,5172.69,11.9,Relaxation,26.4,2,4
26,1729.76,2.7,Cultural,10.3,0,1
20,1066.18,2.5,Adventure,3.1,0,1
30,824.57,1.7,Cultural,11.8,0,1
21,2138.16,10.3,Cultural,13.8,1,1
63,8707.4,17.0,Relaxation,41.0,2,0
60,6019.43,11.9,Relaxation,30.6,2,0
38,3013.6,9.5,Cultural,14.0,1,4
48,6549.62,18.9,Cultural,38.1,2,0
23,684.96,1.4,Cultural,2.8,0,1
19,841.64,6.8,Adventure,14.5,0,1
58,9752.0,20.0,Relaxation,53.4,2,0
18,5136.0,5.7,Relaxation,22.6,2,3
20,7054.77,10.8,Adventure,25.4,2,3
30,1084.53,3.2,Cultural,9.0,0,1
39,4087.66,11.3,Relaxation,19.7,1,4
40,3624.26,6.7,Relaxation,18.5,1,4
23,3008.02,1.7,Adventure,17.8,3,1
23,1088.77,5.4,Adventure,1.0,0,1
28,4931.0,10.0,Adventure,29.4,3,3
18,1602.89,3.7,Cultural,11.8,0,1
30,759.29,4.7,Adventure,6.2,0,1
63,2864.77,16.2,Spiritual,17.6,4,4
27,1412.8,1.1,Adventure,4.6,0,1
32,4574.94,8.9,Adventure,21.7,3,3
18,517.2,2.2,Adventure,1.0,0,1
43,2010.54,5.2,Spiritual,8.6,4,4
29,517.9,3.4,Adventure,7.2,0,1
59,2381.76,5.7,Cultural,11.7,1,4
31,633.69,1.5,Cultural,1.0,0,1
59,2367.33,19.4,Spiritual,28.3,4,4
48,2363.06,13.2,Spiritual,19.9,4,4
53,3511.61,5.8,Cultural,14.1,1,4
57,7243.12,12.1,Relaxation,29.1,2,0
19,3591.03,10.2,Adventure,18.1,3,3
24,2052.62,1.0,Spiritual,15.3,4,4
60,2354.44,18.7,Spiritual,23.9,4,4
46,3445.7,9.5,Cultural,14.4,1,4
30,5301.79,13.2,Adventure,36.9,3,3
35,4580.04,7.6,Relaxation,22.7,1,4
18,2338.67,4.2,Adventure,15.9,3,1
27,1125.98,3.5,Adventure,7.9,0,1
26,707.1,3.2,Cultural,5.1,0,1
24,2157.17,15.5,Adventure,8.8,3,1
36,5152.61,11.4,Adventure,16.5,3,3
44,2967.59,18.2,Spiritual,20.5,4,4
18,5270.95,10.7,Adventure,25.8,2,3
55,5512.73,14.3,Relaxation,25.0,2,0
47,1285.64,8.3,Spiritual,6.9,4,4
60,3848.05,18.0,Spiritual,22.9,4,4
47,8067.07,18.5,Relaxation,37.4,2,0
68,9181.4,16.5,Relaxation,38.4,2,0
22,1698.49,4.0,Adventure,10.5,0,1
26,4016.34,9.5,Adventure,22.2,3,3
29,884.94,4.4,Adventure,16.7,0,1
31,1787.21,4.8,Adventure,16.8,3,1
41,4898.51,8.0,Cultural,25.3,1,3
64,6243.93,12.9,Relaxation,25.7,2,0
60,9355.25,8.9,Relaxation,37.9,2,0
23,2253.39,1.0,Spiritual,7.4,4,4
26,1381.52,2.4,Spiritual,6.5,0,4
27,5662.02,11.9,Adventure,19.3,3,3
29,878.5,4.9,Adventure,7.8,0,1
44,2685.0,46.0,Relaxation,40.2,1,2
41,4212.76,15.6,Adventure,22.7,3,3
45,3192.43,9.6,Cultural,22.0,1,4
21,6407.56,14.1,Relaxation,26.3,2,3
44,2621.48,17.3,Spiritual,20.1,4,4
40,3142.94,6.4,Cultural,16.7,1,4
23,1482.72,2.8,Adventure,1.0,0,1
24,1916.35,3.5,Cultural,10.8,0,1
30,2806.77,7.7,Cultural,19.2,1,3
18,1450.05,3.5,Adventure,3.7,0,1
34,2888.65,3.4,Cultural,13.7,1,1
20,2926.11,1.2,Cultural,14.8,1,1
51,7816.81,9.9,Cultural,32.8,2,0
50,6664.92,20.1,Cultural,28.1,2,0
26,3981.95,10.4,Adventure,22.3,3,3
42,3753.52,13.2,Relaxation,18.5,1,4
38,4247.57,12.5,Adventure,23.7,3,3
32,3279.72,8.5,Adventure,6.1,3,1
53,4008.77,6.3,Cultural,14.4,1,4
43,6544.34,5.9,Adventure,28.9,3,3
21,8560.0,8.0,Relaxation,41.9,2,0
27,957.57,3.0,Adventure,10.1,0,1
19,659.71,7.7,Adventure,7.2,0,1
58,1957.04,12.0,Spiritual,3.8,4,4
39,6524.64,13.4,Adventure,22.5,2,3
34,5530.8,13.4,Adventure,24.1,3,3
24,586.52,10.7,Cultural,12.9,0,1
28,920.39,2.6,Cultural,6.2,0,1
54,3511.32,5.0,Cultural,15.5,1,4
31,1767.05,3.5,Cultural,1.0,0,1
47,2907.6,6.0,Spiritual,14.0,4,4
51,7403.49,16.0,Relaxation,28.9,2,0
29,2277.11,7.3,Adventure,16.2,3,1
26,710.83,2.6,Adventure,9.9,0,1
19,2145.35,4.8,Adventure,1.1,3,1
50,4138.4,7.1,Relaxation,13.5,1,4
21,2917.46,3.9,Cultural,17.9,1,1
53,3505.02,9.7,Relaxation,13.9,1,4
28,2659.99,1.1,Spiritual,10.2,4,4
24,834.68,6.3,Adventure,6.3,0,1
21,772.52,4.9,Adventure,4.9,0,1
22,1899.27,2.0,Adventure,15.5,0,1
41,2828.89,7.1,Cultural,15.9,1,4
72,3229.45,3.6,Spiritual,8.7,4,4
43,4653.56,9.1,Cultural,16.9,1,3
34,3314.96,5.1,Cultural,15.0,1,3
25,1366.28,3.8,Adventure,21.3,0,1
37,6937.74,3.7,Relaxation,26.9,2,3
24,694.35,1.1,Adventure,1.0,0,1
56,9996.96,16.5,Relaxation,45.2,2,0
28,5394.67,13.2,Adventure,25.4,3,3
35,4086.44,4.4,Cultural,17.2,1,3
38,3108.89,5.4,Relaxation,14.0,1,4
23,1085.37,2.0,Adventure,1.0,0,1
60,9181.78,18.2,Relaxation,45.5,2,0
37,4009.86,8.5,Cultural,15.9,1,3
27,2986.85,2.2,Adventure,18.3,3,1
59,2508.97,19.8,Spiritual,14.5,4,4
31,958.34,12.6,Adventure,8.9,0,1
68,5763.88,14.2,Relaxation,17.5,2,4
46,1895.22,9.0,Spiritual,7.2,4,4
54,3844.69,4.9,Relaxation,15.2,1,4
71,2038.22,5.8,Spiritual,7.4,4,4
45,7777.29,14.8,Relaxation,32.2,2,0
39,3035.84,15.4,Adventure,12.1,3,3
24,3126.99,12.5,Spiritual,18.9,4,4
24,6361.72,10.3,Adventure,26.0,2,3
67,2252.97,8.3,Cultural,12.5,1,4
41,3316.49,8.9,Cultural,16.9,1,4
50,6814.48,11.4,Adventure,34.1,2,3
28,3169.26,12.2,Adventure,16.9,3,3
18,3219.86,46.1,Spiritual,36.9,4,2
23,4950.01,8.7,Relaxation,18.7,1,3
23,839.84,3.7,Adventure,1.9,0,1
21,683.51,6.2,Cultural,4.9,0,1
29,4576.89,11.1,Adventure,13.1,3,3
26,5755.47,8.5,Adventure,21.3,3,3
60,902.36,21.6,Spiritual,14.6,4,4
37,6020.04,8.5,Relaxation,18.9,2,4
34,2059.64,1.0,Spiritual,8.4,4,4
34,6419.48,13.4,Adventure,31.1,2,3
42,9384.3,11.9,Cultural,46.4,2,0
19,3646.89,9.1,Adventure,16.2,3,3
71,6820.96,14.8,Relaxation,30.5,2,0
44,7443.47,17.1,Relaxation,30.5,2,0
56,3921.52,4.9,Cultural,9.7,1,4
34,4763.17,14.0,Adventure,27.9,3,3
41,3127.91,16.1,Spiritual,24.3,4,4
58,2701.5,6.3,Spiritual,17.0,4,4
44,2234.22,5.4,Cultural,23.6,1,4
27,1183.54,2.1,Adventure,1.0,0,1
51,8284.99,11.6,Cultural,30.0,2,0
67,9854.44,16.4,Relaxation,29.0,2,0
31,5590.09,9.5,Adventure,27.1,3,3
25,1695.2,1.5,Cultural,3.8,0,1
48,3986.99,8.8,Cultural,24.6,1,3
23,3838.7,11.1,Adventure,23.6,3,3
18,923.5,1.5,Adventure,7.7,0,1
21,2792.83,1.6,Adventure,8.5,3,1
25,660.64,3.9,Adventure,1.0,0,1
31,2196.72,10.8,Adventure,19.0,3,3
23,877.14,1.2,Cultural,1.0,0,1
18,469.0,2.0,Adventure,1.0,0,1
32,7929.51,11.5,Adventure,52.5,2,0
52,3942.86,9.3,Cultural,11.0,1,4
33,4792.62,18.0,Relaxation,33.2,1,0
38,3608.74,7.6,Relaxation,15.8,1,4
64,7149.59,22.5,Relaxation,36.7,2,0
33,4971.93,9.4,Relaxation,27.2,1,4
26,786.44,3.3,Adventure,8.3,0,1
33,4863.2,4.3,Adventure,23.7,3,3
47,5003.84,10.9,Adventure,22.2,2,3
41,5944.73,8.4,Relaxation,26.4,2,4
28,576.84,3.2,Adventure,10.1,0,1
39,3090.59,5.3,Cultural,10.1,1,4
18,2338.25,9.5,Spiritual,14.6,4,4
49,7332.23,16.9,Relaxation,33.2,2,0
51,3903.43,3.7,Cultural,15.3,1,4
24,1215.77,1.7,Adventure,5.1,0,1
49,8470.36,13.0,Relaxation,40.1,2,0
18,5742.09,9.3,Adventure,27.1,2,3
